Borough,Neighborhood,Latitude,Longitude
济南市历下区,大明湖街道办事处,36.669384,117.033020
济南市历下区,千佛山街道办事处,36.642861,117.040028
济南市历下区,燕山街道办事处,36.659474,117.062336
济南市历下区,泉城路街道办事处,36.666319,117.020375
济南市历下区,趵突泉街道办事处,36.659492,117.017884
济南市历下区,东关街道办事处,36.678877,117.032904
济南市历下区,解放路街道办事处,36.666451,117.035264
济南市历下区,建筑新村街道办事处,36.670825,117.049335
济南市历下区,文化东路街道办事处,36.660596,117.049317
济南市历下区,甸柳新村街道办事处,36.659475,117.067271
济南市历下区,姚家街道办事处,36.678142,117.104072
济南市历下区,智远街道办事处,36.703917,117.119346
济南市历下区,龙洞街道办事处,36.640443,117.101125
济南市历下区,舜华路街道办事处,36.672238,117.115800
济南市市中区,泺源街道办事处,36.663225,117.013781
济南市市中区,杆石桥街道办事处,36.651490,116.989333
济南市市中区,魏家庄街道办事处,36.667662,117.002130
济南市市中区,大观园街道办事处,36.659091,116.995013
济南市市中区,四里村街道办事处,36.643182,116.997890
济南市市中区,六里山街道办事处,36.620099,117.001826
济南市市中区,七里山街道办事处,36.629450,116.996453
济南市市中区,二七新村街道办事处,36.634138,116.993443
济南市市中区,舜玉路街道办事处,36.626401,117.017029
济南市市中区,舜耕街道办事处,36.651474,116.997777
济南市市中区,王官庄街道办事处,36.629581,116.961137
济南市市中区,七贤街道办事处,36.611668,116.958691
济南市市中区,白马山街道办事处,36.629972,116.933528
济南市市中区,十六里河街道办事处,36.603261,117.007076
济南市市中区,兴隆街道办事处,36.600238,117.036263
济南市市中区,党家街道办事处,36.584197,116.905221
济南市市中区,陡沟街道办事处,36.603534,116.894825
济南市槐荫区,西市场街道办事处,36.660044,116.977146
济南市槐荫区,五里沟街道办事处,36.658547,116.980183
济南市槐荫区,道德街街道办事处,36.651788,116.967117
济南市槐荫区,营市街街道办事处,36.652625,116.962887
济南市槐荫区,青年公园街道办事处,36.652444,116.984314
济南市槐荫区,中大槐树街道办事处,36.657484,116.967090
济南市槐荫区,振兴街街道办事处,36.653033,116.979221
济南市槐荫区,南辛庄街道办事处,36.645955,116.965006
济南市槐荫区,段店北路街道办事处,36.654667,116.944931
济南市槐荫区,匡山街道办事处,36.663473,116.948167
济南市槐荫区,张庄路街道办事处,36.656156,116.932344
济南市槐荫区,美里湖街道办事处,36.704892,116.931613
济南市槐荫区,兴福街道办事处,36.672015,116.889150
济南市槐荫区,玉清湖街道办事处,36.644929,116.849261
济南市槐荫区,腊山街道办事处,36.637135,116.850121
济南市槐荫区,吴家堡街道办事处,36.696892,116.910842
济南市天桥区,无影山街道办事处,36.684028,116.977638
济南市天桥区,堤口路街道办事处,36.683069,116.967533
济南市天桥区,宝华街街道办事处,36.674931,116.982578
济南市天桥区,工人新村南村街道办事处,36.691089,116.993922
济南市天桥区,工人新村北村街道办事处,36.696473,116.991843
济南市天桥区,官扎营街道办事处,36.680044,116.994748
济南市天桥区,北坦街道办事处,36.675977,117.009076
济南市天桥区,天桥东街街道办事处,36.673100,116.996672
济南市天桥区,制锦市街道办事处,36.668620,117.012783
济南市天桥区,纬北路街道办事处,36.675711,117.003651
济南市天桥区,北园街道办事处,36.695754,117.038158
济南市天桥区,泺口街道办事处,36.711827,116.983662
济南市天桥区,药山街道办事处,36.717102,116.965132
济南市天桥区,大桥街道办事处,36.781689,117.034584
济南市天桥区,桑梓店街道办事处,36.785418,116.918724
济南市历城区,洪家楼街道办事处,36.684803,117.057747
济南市历城区,山大路街道办事处,36.674248,117.056250
济南市历城区,东风街道办事处,36.688209,117.081267
济南市历城区,全福街道办事处,36.699141,117.057196
济南市历城区,孙村街道办事处,36.693394,117.304150
济南市历城区,巨野河街道办事处,36.683973,117.327833
济南市历城区,华山街道办事处,36.719632,117.049842
济南市历城区,荷花路街道办事处,36.741847,117.044242
济南市历城区,王舍人街道办事处,36.720703,117.147100
济南市历城区,鲍山街道办事处,36.705972,117.190317
济南市历城区,郭店街道办事处,36.723000,117.231069
济南市历城区,唐冶街道办事处,36.685373,117.230493
济南市历城区,港沟街道办事处,36.675294,117.205678
济南市历城区,遥墙街道办事处,36.820942,117.192932
济南市历城区,临港街道办事处,36.823016,117.208437
济南市历城区,董家街道办事处,36.747863,117.239699
济南市历城区,仲宫街道办事处,36.498772,117.027283
济南市历城区,彩石街道办事处,36.643650,117.278023
济南市历城区,柳埠街道办事处,36.680017,117.065237
济南市历城区,唐王镇,36.796176,117.295530
济南市历城区,西营镇,36.505080,117.229024
济南市长清区,文昌街道办事处,36.559789,116.752201
济南市长清区,平安街道办事处,36.579631,116.761520
济南市长清区,崮云湖街道办事处,36.534615,116.778157
济南市长清区,五峰山街道办事处,36.553571,116.751937
济南市长清区,归德街道办事处,36.553571,116.751937
济南市长清区,张夏街道办事处,36.450706,116.901619
济南市长清区,万德街道办事处,36.337851,116.923091
济南市长清区,孝里镇,36.391410,116.632262
济南市长清区,马山镇,36.381759,116.777852
济南市长清区,双泉镇,36.346599,116.716655
济南市章丘区,明水街道办事处,36.714488,117.548314
济南市章丘区,双山街道办事处,36.657869,117.540665
济南市章丘区,龙山街道办事处,36.736829,117.375744
济南市章丘区,枣园街道办事处,36.677484,117.502781
济南市章丘区,埠村街道办事处,36.669081,117.479583
济南市章丘区,圣井街道办事处,36.670704,117.432503
济南市章丘区,绣惠街道办事处,36.813539,117.497771
济南市章丘区,相公庄街道办事处,36.762715,117.561715
济南市章丘区,文祖街道办事处,36.608906,117.521707
济南市章丘区,普集街道办事处,36.703587,117.642204
济南市章丘区,官庄街道办事处,36.672240,117.614701
济南市章丘区,高官寨街道办事处,36.909232,117.324374
济南市章丘区,白云湖街道办事处,36.681259,117.526228
济南市章丘区,宁家埠街道办事处,36.681259,117.526228
济南市章丘区,曹范街道办事处,36.631502,117.412580
济南市章丘区,刁镇,36.870762,117.518533
济南市章丘区,垛庄镇,36.496115,117.435018
济南市章丘区,黄河镇,36.976337,117.303665
济南市济阳区,济阳街道办事处,36.977184,117.219016
济南市济阳区,济北街道办事处,36.726342,117.042516
济南市济阳区,回河街道办事处,36.726342,117.042516
济南市济阳区,孙耿街道办事处,36.726342,117.042516
济南市济阳区,太平街道办事处,36.726342,117.042516
济南市济阳区,崔寨街道办事处,36.835319,117.112364
济南市济阳区,曲堤镇,36.726342,117.042516
济南市济阳区,仁风镇,36.726342,117.042516
济南市济阳区,垛石镇,36.726342,117.042516
济南市济阳区,新市镇,36.726342,117.042516
济南市平阴县,榆山街道办事处,36.302660,116.460450
济南市平阴县,锦水街道办事处,36.264680,116.435488
济南市平阴县,洪范池镇,36.102822,116.291726
济南市平阴县,东阿镇,36.172849,116.285390
济南市平阴县,孔村镇,36.176532,116.470328
济南市平阴县,孝直镇,36.112722,116.454574
济南市平阴县,玫瑰镇,36.237928,116.385254
济南市平阴县,安城镇,36.291391,116.511020
济南市商河县,许商街道办事处,37.318668,117.155136
济南市商河县,玉皇庙镇,37.186802,117.110100
济南市商河县,龙桑寺镇,37.395540,117.291253
