Borough,Neighborhood,Latitude,Longitude
青岛市市南区,八大峡街道办事处,36.056636,120.298179
青岛市市南区,云南路街道办事处,36.067401,120.305969
青岛市市南区,中山路街道办事处,36.065414,120.322654
青岛市市南区,八大关街道办事处,36.058097,120.350388
青岛市市南区,湛山路街道办事处,36.054171,120.362353
青岛市市南区,香港中路街道办事处,36.071735,120.391082
青岛市市南区,八大湖街道办事处,36.079966,120.389510
青岛市市南区,金门路街道办事处,36.071063,120.413246
青岛市市南区,珠海路街道办事处,36.061707,120.407954
青岛市市南区,江苏路街道办事处,36.068852,120.336958
青岛市市北区,大港街道办事处,36.091537,120.351387
青岛市市北区,即墨路街道办事处,36.074905,120.322219
青岛市市北区,辽宁路街道办事处,36.084983,120.327453
青岛市市北区,兴隆路街道办事处,36.127101,120.347763
青岛市市北区,延安路街道办事处,36.072371,120.340657
青岛市市北区,登州路街道办事处,36.076469,120.345359
青岛市市北区,水清沟街道办事处,36.130382,120.383036
青岛市市北区,台东街道办事处,36.087687,120.352358
青岛市市北区,阜新路街道办事处,36.095798,120.363064
青岛市市北区,四方街道办事处,36.116973,120.354209
青岛市市北区,宁夏路街道办事处,36.074888,120.367366
青岛市市北区,镇江路街道办事处,36.082175,120.364129
青岛市市北区,海伦路街道办事处,36.104703,120.377752
青岛市市北区,敦化路街道办事处,36.085376,120.369018
青岛市市北区,洛阳路街道办事处,36.142753,120.391571
青岛市市北区,辽源路街道办事处,36.099018,120.397262
青岛市市北区,河西街道办事处,36.125263,120.403717
青岛市市北区,合肥路街道办事处,36.111213,120.400070
青岛市市北区,浮山新区街道办事处,36.097432,120.422439
青岛市城阳区,城阳街道办事处,36.302164,120.381424
青岛市城阳区,惜福镇街道办事处,36.312286,120.489970
青岛市城阳区,夏庄街道办事处,36.258051,120.457628
青岛市城阳区,流亭街道办事处,36.247671,120.399883
青岛市城阳区,棘洪滩街道办事处,36.340801,120.276741
青岛市城阳区,上马街道办事处,36.276269,120.238203
青岛市黄岛区,黄岛街道办事处,36.044674,120.223244
青岛市黄岛区,珠海街道办事处,35.861859,120.007644
青岛市黄岛区,胶南街道办事处,35.907226,120.006890
青岛市黄岛区,辛安街道办事处,35.997524,120.125337
青岛市黄岛区,红石崖街道办事处,36.101767,120.095262
青岛市黄岛区,灵珠山街道办事处,36.015875,120.085193
青岛市黄岛区,长江路街道办事处,35.976708,120.159739
青岛市黄岛区,薛家岛街道办事处,35.959863,120.209541
青岛市黄岛区,隐珠街道办事处,35.896817,120.042008
青岛市黄岛区,滨海街道办事处,35.832384,119.985560
青岛市黄岛区,灵山卫街道办事处,35.934594,120.150191
青岛市黄岛区,铁山街道办事处,35.901651,119.935210
青岛市黄岛区,琅琊镇,35.688728,119.858289
青岛市黄岛区,泊里镇,35.704512,119.786740
青岛市黄岛区,王台镇,36.076029,120.005641
青岛市黄岛区,宝山镇,36.001551,119.895454
青岛市黄岛区,大村镇,35.804686,119.726015
青岛市黄岛区,六汪镇,35.944141,119.785010
青岛市黄岛区,藏南镇,35.758085,119.824679
青岛市黄岛区,张家楼镇,35.798038,119.906932
青岛市黄岛区,海青镇,35.659093,119.569875
青岛市黄岛区,大场镇,35.675229,119.638794
青岛市李沧区,李村街道办事处,36.165609,120.422944
青岛市李沧区,振华路街道办事处,36.170461,120.386917
青岛市李沧区,兴城路街道办事处,36.192789,120.386356
青岛市李沧区,九水街道办事处,36.171573,120.466255
青岛市李沧区,虎山路街道办事处,36.176735,120.417394
青岛市李沧区,沧口街道办事处,36.173374,120.402465
青岛市李沧区,楼山街道办事处,36.212928,120.391982
青岛市李沧区,世园街道办事处,36.179280,120.480995
青岛市李沧区,浮山路街道办事处,36.140146,120.426307
青岛市李沧区,兴华路街道办事处,36.182205,120.388687
青岛市李沧区,湘潭路街道办事处,36.214660,120.414825
青岛市崂山区,中韩街道办事处,36.136806,120.455056
青岛市崂山区,沙子口街道办事处,36.114036,120.542806
青岛市崂山区,王哥庄街道办事处,36.271512,120.640613
青岛市崂山区,北宅街道办事处,36.187903,120.516384
青岛市平度市,凤台街道办事处,36.770721,119.973953
青岛市平度市,白沙河街道办事处,36.753680,120.101260
青岛市平度市,东阁街道办事处,36.784809,119.967689
青岛市平度市,同和街道办事处,36.739844,119.935487
青岛市平度市,李园街道办事处,36.791874,119.936806
青岛市平度市,崔家集镇,36.626602,119.716816
青岛市平度市,南村镇,36.534664,120.131692
青岛市平度市,田庄镇,36.795441,119.740860
青岛市平度市,蓼兰镇,36.670037,119.884218
青岛市平度市,明村镇,36.757489,119.643389
青岛市平度市,大泽山镇,36.988579,119.924821
青岛市平度市,旧店镇,36.963282,120.101448
青岛市平度市,古岘镇,36.734133,120.225599
青岛市平度市,店子镇,36.900456,119.867555
青岛市平度市,新河镇,36.994287,119.711836
青岛市平度市,云山镇,36.827229,120.206780
青岛市平度市,仁兆镇,36.639529,120.198136
青岛市即墨区,环秀街道办事处,36.388599,120.453079
青岛市即墨区,通济街道办事处,36.391743,120.421273
青岛市即墨区,北安街道办事处,36.439419,120.472574
青岛市即墨区,龙山街道办事处,36.387605,120.519669
青岛市即墨区,鳌山卫街道办事处,36.365624,120.667479
青岛市即墨区,龙泉街道办事处,36.438310,120.501589
青岛市即墨区,温泉街道办事处,36.451250,120.658469
青岛市即墨区,潮海街道办事处,36.407071,120.498651
青岛市即墨区,田横镇,36.513834,120.851683
青岛市即墨区,金口镇,36.570171,120.726364
青岛市即墨区,灵山镇,36.535225,120.457205
青岛市即墨区,段泊岚镇,36.538806,120.367391
青岛市即墨区,移风店镇,36.583254,120.209053
青岛市即墨区,蓝村镇,36.407693,120.185515
青岛市即墨区,大信镇,36.382488,120.333329
青岛市莱西市,水集街道办事处,36.858085,120.514054
青岛市莱西市,望城街道办事处,36.822428,120.543810
青岛市莱西市,龙水街道办事处,36.853194,120.544191
青岛市莱西市,梅花山街道办事处,36.900655,120.506192
青岛市莱西市,滨河路街道办事处,36.889084,120.517690
青岛市莱西市,沽河街道办事处,36.844381,120.404830
青岛市莱西市,孙受镇,36.782494,120.443103
青岛市莱西市,姜山镇,36.671721,120.526692
青岛市莱西市,夏格庄镇,36.694746,120.430109
青岛市莱西市,院上镇,36.771671,120.341240
青岛市莱西市,日庄镇,36.957439,120.379530
青岛市莱西市,南墅镇,37.023333,120.333965
青岛市莱西市,河头店镇,37.010825,120.579602
青岛市莱西市,店埠镇,36.699567,120.353479
青岛市莱西市,李权庄镇,36.889084,120.517690
青岛市莱西市,武备镇,36.811545,120.285346
青岛市莱西市,马连庄镇,37.075831,120.468955
青岛市胶州市,阜安街道办事处,36.284465,120.016465
青岛市胶州市,中云街道办事处,36.284559,120.002199
青岛市胶州市,胶北街道办事处,36.362499,119.965780
青岛市胶州市,三里河街道办事处,36.267370,120.003471
青岛市胶州市,胶东街道办事处,36.311223,120.097560
青岛市胶州市,九龙街道办事处,36.215911,120.075651
青岛市胶州市,李哥庄镇,36.352812,120.158977
青岛市胶州市,胶莱镇,36.442695,120.071095
青岛市胶州市,胶西镇,36.259916,119.920923
青岛市胶州市,里岔镇,36.070523,119.788657
青岛市胶州市,铺集镇,36.126772,119.726995
青岛市胶州市,洋河镇,36.138290,119.912600
