Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
大明湖街道办事处,36.669384,117.03302,Costa Coffee (咖世家),36.66537592401243,117.02460292353632,Coffee Shop
大明湖街道办事处,36.669384,117.03302,Shimao International Plaza (世茂国际广场),36.66476219165684,117.02381549372544,Shopping Mall
大明湖街道办事处,36.669384,117.03302,Carrefour (家乐福),36.66615178636725,117.03434496750303,Supermarket
大明湖街道办事处,36.669384,117.03302,家乐福（济南解放桥店）,36.669944232996656,117.0390060448481,Shopping Mall
千佛山街道办事处,36.642860999999996,117.040028,Thousand Buddha Mountain (千佛山),36.642124,117.032448,Mountain
千佛山街道办事处,36.642860999999996,117.040028,草包包子铺,36.64402348706645,117.03156896216308,Chinese Restaurant
千佛山街道办事处,36.642860999999996,117.040028,鱼翅皇宫,36.63462731929803,117.04159804171589,Asian Restaurant
千佛山街道办事处,36.642860999999996,117.040028,三义和酒楼,36.647126513016886,117.03041371929041,Chinese Restaurant
千佛山街道办事处,36.642860999999996,117.040028,小城故事(千佛山店),36.64192581176758,117.02906036376953,Asian Restaurant
千佛山街道办事处,36.642860999999996,117.040028,大佛头,36.63771441775951,117.04912097263072,Mountain
燕山街道办事处,36.659473999999996,117.06233600000002,春饼,36.660514,117.066521,Dongbei Restaurant
燕山街道办事处,36.659473999999996,117.06233600000002,道克图文,36.654287,117.063141,Paper / Office Supplies Store
燕山街道办事处,36.659473999999996,117.06233600000002,365台球俱乐部,36.6611631,117.0558116,Pool Hall
燕山街道办事处,36.659473999999996,117.06233600000002,Korean Resturant // 土大力,36.66455137291365,117.05949401201084,Korean Restaurant
燕山街道办事处,36.659473999999996,117.06233600000002,庄稼宴 | Zhuang Jia Yan Restaurant,36.657754,117.055632,Shandong Restaurant
燕山街道办事处,36.659473999999996,117.06233600000002,富侨足道,36.665868558009656,117.05879291424272,Massage Studio
燕山街道办事处,36.659473999999996,117.06233600000002,东城饺子搂,36.65348,117.068497,Chinese Restaurant
燕山街道办事处,36.659473999999996,117.06233600000002,Oscar Bar,36.65216511605556,117.0662347743046,Bar
燕山街道办事处,36.659473999999996,117.06233600000002,高第街56号文化东路店,36.654307440245795,117.05463799959215,Chinese Restaurant
燕山街道办事处,36.659473999999996,117.06233600000002,春江饭店（解放路店）,36.66507985342268,117.05409049987792,Shandong Restaurant
泉城路街道办事处,36.666319,117.020375,Starbucks (星巴克),36.66294883609048,117.01772731625356,Coffee Shop
泉城路街道办事处,36.666319,117.020375,Parc 66 (恒隆广场),36.66375382725165,117.01776310614395,Shopping Mall
泉城路街道办事处,36.666319,117.020375,Starbucks (星巴克),36.66502541569481,117.02051568727778,Coffee Shop
泉城路街道办事处,36.666319,117.020375,Ole Supermarket (parc66),36.66391276880525,117.01769987990204,Gourmet Shop
泉城路街道办事处,36.666319,117.020375,Apple Parc 66 Jinan (Apple 济南恒隆广场),36.664286212401244,117.01796650886536,Electronics Store
泉城路街道办事处,36.666319,117.020375,Crowne Plaza,36.66353443860142,117.01980831264027,Hotel
泉城路街道办事处,36.666319,117.020375,Sofitel Silver Plaza Hotel Jinan,36.659821822596385,117.02443679774356,Hotel
泉城路街道办事处,36.666319,117.020375,Costa Coffee (咖世家),36.66537592401243,117.02460292353632,Coffee Shop
泉城路街道办事处,36.666319,117.020375,Daming Lake Park (大明湖公园),36.673231,117.018274,Park
泉城路街道办事处,36.666319,117.020375,Malèna (玛莲娜),36.662238325152515,117.01766098170447,Restaurant
泉城路街道办事处,36.666319,117.020375,Quancheng Square (泉城广场),36.661242592901786,117.01680321478662,Plaza
泉城路街道办事处,36.666319,117.020375,Cinema Palace (百丽宫影城),36.6630425899915,117.01858373927278,Movie Theater
泉城路街道办事处,36.666319,117.020375,Shimao International Plaza (世茂国际广场),36.66476219165684,117.02381549372544,Shopping Mall
