Borough,Neighborhood,Latitude,Longitude
青岛市市南区,八大峡街道办事处,,
青岛市市南区,云南路街道办事处,,
青岛市市南区,中山路街道办事处,,
青岛市市南区,八大关街道办事处,,
青岛市市南区,湛山路街道办事处,,
青岛市市南区,香港中路街道办事处,,
青岛市市南区,八大湖街道办事处,,
青岛市市南区,金门路街道办事处,,
青岛市市南区,珠海路街道办事处,,
青岛市市南区,江苏路街道办事处,,
青岛市市北区,大港街道办事处,,
青岛市市北区,即墨路街道办事处,,
青岛市市北区,辽宁路街道办事处,,
青岛市市北区,兴隆路街道办事处,,
青岛市市北区,延安路街道办事处,,
青岛市市北区,登州路街道办事处,,
青岛市市北区,水清沟街道办事处,,
青岛市市北区,台东街道办事处,,
青岛市市北区,阜新路街道办事处,,
青岛市市北区,四方街道办事处,,
青岛市市北区,宁夏路街道办事处,,
青岛市市北区,镇江路街道办事处,,
青岛市市北区,海伦路街道办事处,,
青岛市市北区,敦化路街道办事处,,
青岛市市北区,洛阳路街道办事处,,
青岛市市北区,辽源路街道办事处,,
青岛市市北区,河西街道办事处,,
青岛市市北区,合肥路街道办事处,,
青岛市市北区,浮山新区街道办事处,,
青岛市城阳区,城阳街道办事处,,
青岛市城阳区,惜福镇街道办事处,,
青岛市城阳区,夏庄街道办事处,,
青岛市城阳区,流亭街道办事处,,
青岛市城阳区,棘洪滩街道办事处,,
青岛市城阳区,上马街道办事处,,
青岛市黄岛区,黄岛街道办事处,,
青岛市黄岛区,珠海街道办事处,,
青岛市黄岛区,胶南街道办事处,,
青岛市黄岛区,辛安街道办事处,,
青岛市黄岛区,红石崖街道办事处,,
青岛市黄岛区,灵珠山街道办事处,,
青岛市黄岛区,长江路街道办事处,,
青岛市黄岛区,薛家岛街道办事处,,
青岛市黄岛区,隐珠街道办事处,,
青岛市黄岛区,滨海街道办事处,,
青岛市黄岛区,灵山卫街道办事处,,
青岛市黄岛区,铁山街道办事处,,
青岛市黄岛区,琅琊镇,,
青岛市黄岛区,泊里镇,,
青岛市黄岛区,王台镇,,
青岛市黄岛区,宝山镇,,
青岛市黄岛区,大村镇,,
青岛市黄岛区,六汪镇,,
青岛市黄岛区,藏南镇,,
青岛市黄岛区,张家楼镇,,
青岛市黄岛区,海青镇,,
青岛市黄岛区,大场镇,,
青岛市李沧区,李村街道办事处,,
青岛市李沧区,振华路街道办事处,,
青岛市李沧区,兴城路街道办事处,,
青岛市李沧区,九水街道办事处,,
青岛市李沧区,虎山路街道办事处,,
青岛市李沧区,沧口街道办事处,,
青岛市李沧区,楼山街道办事处,,
青岛市李沧区,世园街道办事处,,
青岛市李沧区,浮山路街道办事处,,
青岛市李沧区,兴华路街道办事处,,
青岛市李沧区,湘潭路街道办事处,,
青岛市崂山区,中韩街道办事处,,
青岛市崂山区,沙子口街道办事处,,
青岛市崂山区,王哥庄街道办事处,,
青岛市崂山区,北宅街道办事处,,
青岛市平度市,凤台街道办事处,,
青岛市平度市,白沙河街道办事处,,
青岛市平度市,东阁街道办事处,,
青岛市平度市,同和街道办事处,,
青岛市平度市,李园街道办事处,,
青岛市平度市,崔家集镇,,
青岛市平度市,南村镇,,
青岛市平度市,田庄镇,,
青岛市平度市,蓼兰镇,,
青岛市平度市,明村镇,,
青岛市平度市,大泽山镇,,
青岛市平度市,旧店镇,,
青岛市平度市,古岘镇,,
青岛市平度市,店子镇,,
青岛市平度市,新河镇,,
青岛市平度市,云山镇,,
青岛市平度市,仁兆镇,,
青岛市即墨区,环秀街道办事处,,
青岛市即墨区,通济街道办事处,,
青岛市即墨区,北安街道办事处,,
青岛市即墨区,龙山街道办事处,,
青岛市即墨区,鳌山卫街道办事处,,
青岛市即墨区,龙泉街道办事处,,
青岛市即墨区,温泉街道办事处,,
青岛市即墨区,潮海街道办事处,,
青岛市即墨区,田横镇,,
青岛市即墨区,金口镇,,
青岛市即墨区,灵山镇,,
青岛市即墨区,段泊岚镇,,
青岛市即墨区,移风店镇,,
青岛市即墨区,蓝村镇,,
青岛市即墨区,大信镇,,
青岛市莱西市,水集街道办事处,,
青岛市莱西市,望城街道办事处,,
青岛市莱西市,龙水街道办事处,,
青岛市莱西市,梅花山街道办事处,,
青岛市莱西市,滨河路街道办事处,,
青岛市莱西市,沽河街道办事处,,
青岛市莱西市,孙受镇,,
青岛市莱西市,姜山镇,,
青岛市莱西市,夏格庄镇,,
青岛市莱西市,院上镇,,
青岛市莱西市,日庄镇,,
青岛市莱西市,南墅镇,,
青岛市莱西市,河头店镇,,
青岛市莱西市,店埠镇,,
青岛市莱西市,李权庄镇,,
青岛市莱西市,武备镇,,
青岛市莱西市,马连庄镇,,
青岛市胶州市,阜安街道办事处,,
青岛市胶州市,中云街道办事处,,
青岛市胶州市,胶北街道办事处,,
青岛市胶州市,三里河街道办事处,,
青岛市胶州市,胶东街道办事处,,
青岛市胶州市,九龙街道办事处,,
青岛市胶州市,李哥庄镇,,
青岛市胶州市,胶莱镇,,
青岛市胶州市,胶西镇,,
青岛市胶州市,里岔镇,,
青岛市胶州市,铺集镇,,
青岛市胶州市,洋河镇,,
