Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
八大峡街道办事处,36.056636,120.298179,船歌鱼水饺,36.0543457916517,120.29857164810434,Dumpling Restaurant
八大峡街道办事处,36.056636,120.298179,前海购物广场 Qianhai Shopping Center,36.057827,120.303856,Shopping Mall
八大峡街道办事处,36.056636,120.298179,友誼遊艇 Youyi Yacht,36.05265271260888,120.30190020128299,Harbor / Marina
八大峡街道办事处,36.056636,120.298179,飛洋遊艇碼頭 Feiyang Yacht,36.05267788575473,120.30203536916628,Harbor / Marina
八大峡街道办事处,36.056636,120.298179,中苑旅游码头,36.05080032348633,120.29920959472656,Pier
八大峡街道办事处,36.056636,120.298179,八大峡广场,36.05267273215748,120.30484199523926,Plaza
八大峡街道办事处,36.056636,120.298179,团岛农贸市场,36.06365561316379,120.2966172804847,Farmers Market
八大峡街道办事处,36.056636,120.298179,金茂湾购物中心,36.06524908877603,120.29666233828002,Shopping Plaza
云南路街道办事处,36.067401000000004,120.30596899999999,St. Michael's Cathedral 圣弥爱尔大教堂,36.06738613420469,120.31536561533659,Church
云南路街道办事处,36.067401000000004,120.30596899999999,劈柴院,36.07102610205984,120.31285961028769,Market
云南路街道办事处,36.067401000000004,120.30596899999999,Qingdao Railway Station (青岛站),36.064686,120.312317,Train Station
云南路街道办事处,36.067401000000004,120.30596899999999,王姐烧烤 Wangjie BBQ,36.0692955732227,120.31359733811433,BBQ Joint
云南路街道办事处,36.067401000000004,120.30596899999999,春和楼,36.07059547709404,120.31349597115518,Chinese Restaurant
云南路街道办事处,36.067401000000004,120.30596899999999,QINGDAO ZHAN Metro Station,36.064938,120.30871,Metro Station
云南路街道办事处,36.067401000000004,120.30596899999999,Tommyboy Coffee,36.06963409711362,120.31346781368285,Café
云南路街道办事处,36.067401000000004,120.30596899999999,青岛第一百盛 Parkson,36.06594377916332,120.31347657377081,Department Store
云南路街道办事处,36.067401000000004,120.30596899999999,九龙餐厅,36.070606978842385,120.31286524181361,Chinese Restaurant
云南路街道办事处,36.067401000000004,120.30596899999999,江宁会馆,36.07125480435813,120.31296660923832,Chinese Restaurant
云南路街道办事处,36.067401000000004,120.30596899999999,栈桥海水浴场 Zhan Bridge Bathing Beath,36.062078909093934,120.3116769844715,Beach
中山路街道办事处,36.065414000000004,120.322654,St. Michael's Cathedral 圣弥爱尔大教堂,36.06738613420469,120.31536561533659,Church
中山路街道办事处,36.065414000000004,120.322654,阿兹凯乐西餐厅 Rats Keller western restaurant,36.06438102366475,120.32803006025955,German Restaurant
中山路街道办事处,36.065414000000004,120.322654,胶澳总督府 Jiaozhou Governor's Hall,36.064874349610285,120.32760897976559,Historic Site
中山路街道办事处,36.065414000000004,120.322654,Qingdao Railway Station (青岛站),36.064686,120.312317,Train Station
中山路街道办事处,36.065414000000004,120.322654,王姐烧烤 Wangjie BBQ,36.0692955732227,120.31359733811433,BBQ Joint
中山路街道办事处,36.065414000000004,120.322654,青岛凯越青年旅社 Qingdao Kaiyue Youth Hostel,36.07035543190272,120.31858061261654,Hostel
中山路街道办事处,36.065414000000004,120.322654,McDonald's (麦当劳),36.06575223947439,120.32603671644503,Fast Food Restaurant
中山路街道办事处,36.065414000000004,120.322654,信号山公园 Xinhaoshan Park,36.06620627895774,120.32633515686427,Park
中山路街道办事处,36.065414000000004,120.322654,青岛德国监狱旧址博物馆 Qingdao German Prison Site Museum,36.06140415403151,120.32332819765954,History Museum
中山路街道办事处,36.065414000000004,120.322654,怡堡酒店 The Castle Hotel,36.06565945859833,120.32848052921864,Hotel
中山路街道办事处,36.065414000000004,120.322654,"青岛奥博维特国际青年旅舍 YHA Old Observatory, Qingdao",36.070126949372906,120.32098603007061,Hostel
中山路街道办事处,36.065414000000004,120.322654,良友书坊,36.063258079919805,120.3166664664202,Bookstore
中山路街道办事处,36.065414000000004,120.322654,Coffee Space,36.061881133864794,120.32777667078645,Café
中山路街道办事处,36.065414000000004,120.322654,Kaiyue Youth Hostel / Old Church Lounge,36.0704145,120.3186339,Hostel
中山路街道办事处,36.065414000000004,120.322654,青岛第一百盛 Parkson,36.06594377916332,120.31347657377081,Department Store
中山路街道办事处,36.065414000000004,120.322654,Tommyboy Coffee,36.06963409711362,120.31346781368285,Café
中山路街道办事处,36.065414000000004,120.322654,栈桥 Zhanqiao Pier,36.05992576741291,120.31482685357332,Pier
八大关街道办事处,36.058097,120.350388,Badaguan (八大关 Ba Da Guan),36.0522404946109,120.34704412719788,Historic Site
八大关街道办事处,36.058097,120.350388,Huashi Villa (花石楼 Huashi Villa),36.050232597868245,120.34825716908031,Scenic Lookout
八大关街道办事处,36.058097,120.350388,一杯沧海 A Cup of Sea,36.0517706299876,120.35155534744263,Bar
八大关街道办事处,36.058097,120.350388,Zhongshan Park (中山公园 Zhongshan Park),36.062221478227194,120.34398134390649,Park
八大关街道办事处,36.058097,120.350388,武胜关度假酒店,36.056288,120.342373,Hotel
八大关街道办事处,36.058097,120.350388,汇泉广场,36.05649890402688,120.34207269802774,Plaza
湛山路街道办事处,36.054171000000004,120.362353,Copthorne Hotel Qingdao (青岛国顿大酒店),36.05415290000001,120.3618484,Hotel
湛山路街道办事处,36.054171000000004,120.362353,第三海水浴场 No.3 Bathing Beach,36.05200769761449,120.3604316975139,Beach
湛山路街道办事处,36.054171000000004,120.362353,开海红岛海鲜水饺,36.05823722460046,120.36382059464252,Chinese Restaurant
湛山路街道办事处,36.054171000000004,120.362353,朗园 Cafe Roland (朗园),36.049256325123444,120.36009392883722,Café
湛山路街道办事处,36.054171000000004,120.362353,Hellmann Worldwide Logistics,36.056271,120.353871,Miscellaneous Shop
湛山路街道办事处,36.054171000000004,120.362353,海航万邦购物中心,36.060818,120.369546,Shopping Mall
香港中路街道办事处,36.071735,120.39108200000001,İstanbul,36.067465978590434,120.39464107843042,Turkish Restaurant
香港中路街道办事处,36.071735,120.39108200000001,船歌鱼水饺,36.070805630907216,120.39338375997745,Dumpling Restaurant
香港中路街道办事处,36.071735,120.39108200000001,Kona Coffee,36.06842951167716,120.39288861032139,Coffee Shop
香港中路街道办事处,36.071735,120.39108200000001,China Community Art and Culture Hotel,36.072379919108954,120.39032637356003,Hotel
香港中路街道办事处,36.071735,120.39108200000001,Coffee Hunter,36.06649102973616,120.39354002083128,Coffee Shop
香港中路街道办事处,36.071735,120.39108200000001,Milano Italian restaurant,36.06972319470709,120.39329801514468,Italian Restaurant
香港中路街道办事处,36.071735,120.39108200000001,The Canvas,36.06755095984417,120.39467125069085,American Restaurant
香港中路街道办事处,36.071735,120.39108200000001,Trattoria Verde,36.06716322114777,120.39518902428038,Italian Restaurant
香港中路街道办事处,36.071735,120.39108200000001,Club New York,36.065221534416246,120.38927226678665,Bar
香港中路街道办事处,36.071735,120.39108200000001,Holiday Inn,36.067037608975525,120.38310232046713,Hotel
香港中路街道办事处,36.071735,120.39108200000001,Starbucks (星巴克),36.06286461183426,120.3924485446557,Coffee Shop
香港中路街道办事处,36.071735,120.39108200000001,Crowne Plaza (青岛颐中皇冠假日酒店),36.06411920056474,120.39430543118763,Hotel
香港中路街道办事处,36.071735,120.39108200000001,Street 33 Restaurant and Cafe,36.068264014651106,120.39474038830129,Café
香港中路街道办事处,36.071735,120.39108200000001,Starbucks (星巴克),36.06600200402511,120.3985038516118,Coffee Shop
香港中路街道办事处,36.071735,120.39108200000001,The Diner 22,36.06739821624459,120.39499711060205,Italian Restaurant
香港中路街道办事处,36.071735,120.39108200000001,永旺东部购物中心 Aeon Qingdao,36.06380719987911,120.39157019396055,Shopping Mall
香港中路街道办事处,36.071735,120.39108200000001,Starbucks (星巴克),36.06494906217259,120.38590266838415,Coffee Shop
香港中路街道办事处,36.071735,120.39108200000001,海岛渔村大酒店,36.06806257543328,120.38815069908253,Seafood Restaurant
香港中路街道办事处,36.071735,120.39108200000001,渔码头海鲜舫,36.06711181623643,120.38778241409572,Seafood Restaurant
香港中路街道办事处,36.071735,120.39108200000001,不是书店 SONO SPACE,36.075454,120.386167,Bookstore
香港中路街道办事处,36.071735,120.39108200000001,青岛饭店 Qingdao Hotel,36.065288238932204,120.38903188715538,Hotel
香港中路街道办事处,36.071735,120.39108200000001,Sunshine Dept Store,36.06510160641836,120.38997530937195,Department Store
香港中路街道办事处,36.071735,120.39108200000001,大清花饺子,36.06527230427605,120.38660046902943,Chinese Restaurant
香港中路街道办事处,36.071735,120.39108200000001,永和大王 Yonghe King,36.06595394390962,120.38528343182675,Chinese Restaurant
香港中路街道办事处,36.071735,120.39108200000001,KFC (肯德基),36.065640254612205,120.3851089515351,Fast Food Restaurant
香港中路街道办事处,36.071735,120.39108200000001,Sunny World 阳光百货,36.065233804182235,120.38564927683687,Shopping Mall
香港中路街道办事处,36.071735,120.39108200000001,书城 Book City,36.065002201405186,120.39650521033336,Bookstore
香港中路街道办事处,36.071735,120.39108200000001,彤德莱 Tongdelai Hot Pot,36.06613523390328,120.39836315608208,Chinese Restaurant
香港中路街道办事处,36.071735,120.39108200000001,Haagen-Dazs 哈根达斯,36.066354227587254,120.38336413569917,Ice Cream Shop
香港中路街道办事处,36.071735,120.39108200000001,Aeon Supermarket,36.06334927022838,120.38808071281318,Supermarket
香港中路街道办事处,36.071735,120.39108200000001,CoCo壱番屋,36.063027,120.393869,Japanese Curry Restaurant
八大湖街道办事处,36.079966,120.38951000000002,中联创意广场 Zhonglian Plaza,36.081776677529255,120.37950294361852,Bar
八大湖街道办事处,36.079966,120.38951000000002,China Community Art and Culture Hotel,36.072379919108954,120.39032637356003,Hotel
八大湖街道办事处,36.079966,120.38951000000002,大润发 RT-Mart,36.080722180047786,120.38746597899444,Grocery Store
八大湖街道办事处,36.079966,120.38951000000002,Ibis hotel,36.08161096649306,120.3852798500577,Hotel
八大湖街道办事处,36.079966,120.38951000000002,不是书店 SONO SPACE,36.075454,120.386167,Bookstore
八大湖街道办事处,36.079966,120.38951000000002,China公社山东菜馆,36.07234512056084,120.39032074538628,Chinese Restaurant
八大湖街道办事处,36.079966,120.38951000000002,Jimolu Market,36.07833890661144,120.39973071014765,Department Store
金门路街道办事处,36.071063,120.413246,Charlie's Bar,36.06793699295221,120.40345060917323,Bar
金门路街道办事处,36.071063,120.413246,Sharing Bar,36.074458272193446,120.41204930048174,Café
金门路街道办事处,36.071063,120.413246,Canteen @Minxing BD,36.07522775955033,120.41223499889134,Chinese Restaurant
金门路街道办事处,36.071063,120.413246,Ajisen Ramen (味千拉麵),36.06813889544945,120.42295440902812,Ramen Restaurant
金门路街道办事处,36.071063,120.413246,McDonald's (麦当劳),36.06823638768475,120.42353396331912,Fast Food Restaurant
珠海路街道办事处,36.061707,120.407954,Grand Regency Hotel (麗晶大酒店),36.06476438231226,120.40345789944048,Hotel
